code,name,行业,股息率_2023,最高_比_最低,最新_比_最高,最新_比_最低
000902,新洋丰,化肥行业,2.46,35.98,-6.0,27.82
000927,中国铁物,物流行业,0.42,18.53,-13.45,2.59
000938,紫光股份,互联网服务,0.62,73.35,-14.12,48.88
000957,中通客车,汽车整车,0.31,97.34,-8.5,80.56
000960,锡业股份,小金属,1.56,66.24,-12.5,45.46
001213,中铁特货,物流行业,1.45,21.31,-10.81,8.2
001267,汇绿生态,工程建设,0.7,88.82,-14.17,62.06
001286,陕西能源,电力行业,2.98,64.82,-5.12,56.39
001288,运机集团,工程机械,0.91,141.82,-6.59,125.88
001872,招商港口,航运港口,2.73,47.49,-1.63,45.09
002001,新和成,化学制药,2.2,32.51,-0.44,31.93
002008,大族激光,通用设备,0.91,58.88,-8.02,46.14
002016,世荣兆业,房地产开发,0.42,74.94,-11.21,55.33
002026,山东威达,通用设备,1.3,71.69,-10.39,53.85
002039,黔源电力,电力行业,1.07,47.73,-8.88,34.61
002053,云南能投,化学原料,1.35,56.3,-11.0,39.1
002064,华峰化学,化纤行业,2.09,44.22,-8.61,31.8
002075,沙钢股份,钢铁行业,1.14,62.33,-8.44,48.63
002078,太阳纸业,造纸印刷,2.05,41.11,-12.6,23.33
002083,孚日股份,纺织服装,2.22,42.18,-10.02,27.93
002106,莱宝高科,光学光电子,2.31,63.28,-4.89,55.3
002111,威海广泰,专用设备,0.91,100.0,-8.62,82.75
002126,银轮股份,汽车零部件,0.56,37.17,-13.2,19.07
002130,沃尔核材,非金属材料,1.06,218.82,-4.67,203.92
002138,顺络电子,电子元件,1.11,37.99,-11.81,21.69
002139,拓邦股份,消费电子,0.53,72.96,-0.62,71.89
002155,湖南黄金,贵金属,0.68,114.98,-13.34,86.31
002156,通富微电,半导体,0.05,47.11,-10.69,31.39
002170,芭田股份,化肥行业,2.48,62.34,-6.91,51.12
002180,纳思达,计算机设备,0.0,74.6,-6.65,62.99
002185,华天科技,半导体,0.25,58.63,-6.57,48.21
002204,大连重工,工程机械,0.83,42.27,-13.73,22.74
002223,鱼跃医疗,医疗器械,2.19,31.9,-12.56,15.34
002237,恒邦股份,贵金属,1.09,64.27,-11.02,46.16
002241,歌尔股份,消费电子,0.46,51.07,-1.18,49.28
002252,上海莱士,生物制品,0.39,36.61,-9.56,23.55
002273,水晶光电,光学光电子,1.46,126.62,-5.19,114.85
002281,光迅科技,通信设备,0.63,111.76,-14.47,81.13
002318,久立特材,钢铁行业,2.11,40.25,-13.53,21.28
002332,仙琚制药,化学制药,2.67,49.61,-14.77,27.51
002340,格林美,能源金属,1.24,71.01,-10.03,53.86
002353,杰瑞股份,专用设备,1.46,52.91,-8.85,39.37
002371,北方华创,半导体,0.25,54.17,-1.57,51.75
002379,宏创控股,有色金属,0.0,63.92,-12.74,43.04
002380,科远智慧,互联网服务,0.0,97.38,-3.25,90.97
002384,东山精密,电子元件,0.96,125.06,-1.69,121.26
002408,齐翔腾达,化学制品,1.23,63.27,-11.41,44.64
002409,雅克科技,电子化学品,0.53,101.69,0.0,101.69
002422,科伦药业,化学制药,2.55,54.98,-7.88,42.76
002428,云南锗业,小金属,0.16,78.16,-9.96,60.41
002444,巨星科技,通用设备,1.06,61.31,0.0,61.31
002452,长高电新,电网设备,0.78,102.25,-5.79,90.54
002461,珠江啤酒,酿酒行业,1.6,28.28,-8.15,17.82
002463,沪电股份,电子元件,1.21,114.96,-2.42,109.74
002475,立讯精密,消费电子,0.72,63.91,-2.06,60.53
002532,天山铝业,有色金属,1.73,77.39,-3.67,70.88
002550,千红制药,化学制药,2.2,40.0,-10.55,25.23
002588,史丹利,化肥行业,1.74,54.75,-4.31,48.08
002594,比亚迪,汽车整车,1.22,57.26,0.0,57.26
002595,豪迈科技,专用设备,1.63,54.81,-8.42,41.78
002600,领益智造,消费电子,0.79,71.43,-4.37,63.95
002606,大连电瓷,电网设备,0.16,49.91,-8.21,37.61
002608,江苏国信,电力行业,1.31,38.56,-11.43,22.72
002635,安洁科技,消费电子,1.87,49.13,-3.25,44.29
002648,卫星化学,化学原料,2.23,51.36,-10.64,35.25
002653,海思科,化学制药,0.67,71.51,-7.4,58.82
002700,ST浩源,燃气,0.84,101.4,0.0,101.4
002701,奥瑞金,包装材料,2.9,30.08,-13.33,12.74
002707,众信旅游,旅游酒店,0.0,44.34,-9.54,30.57
002714,牧原股份,农牧饲渔,0.0,55.97,-12.79,36.03
002755,奥赛康,化学制药,0.0,68.54,-14.08,44.8
002773,康弘药业,化学制药,1.7,71.92,-5.65,62.2
002785,万里石,装修建材,0.0,32.17,-11.46,17.03
002823,凯中精密,电机,0.48,148.23,-10.88,121.22
002827,高争民爆,化学制品,0.65,138.94,-9.18,117.0
002897,意华股份,通信设备,0.25,68.46,-13.29,46.08
002916,深南电路,电子元件,0.71,157.74,-0.67,156.02
002937,兴瑞科技,消费电子,1.68,61.37,-14.21,38.45
002938,鹏鼎控股,电子元件,1.22,151.66,-6.21,136.02
002947,恒铭达,消费电子,1.22,102.07,-2.49,97.04
002970,锐明技术,计算机设备,1.27,99.15,-1.26,96.65
002979,雷赛智能,专用设备,0.6,82.5,-8.04,67.83
003001,中岩大地,工程咨询服务,0.72,95.17,-9.89,75.87
003006,百亚股份,美容护理,2.31,91.3,-4.91,81.9
003816,中国广核,电力行业,1.92,72.6,-4.76,64.38
300001,特锐德,电网设备,0.51,43.54,-3.66,38.29
300049,福瑞股份,医疗器械,0.0,86.23,-8.61,70.2
300054,鼎龙股份,电子化学品,0.0,52.08,-7.6,40.53
300098,高新兴,软件开发,0.0,113.33,-11.95,87.84
300100,双林股份,汽车零部件,0.75,132.17,-3.75,123.48
300114,中航电测,航天航空,0.0,46.42,-3.58,41.18
300115,长盈精密,消费电子,0.0,84.03,-2.64,79.17
300120,经纬辉开,光学光电子,0.0,114.55,-11.1,90.74
300181,佐力药业,中药,2.89,91.46,-10.71,70.96
300207,欣旺达,电池,0.79,53.33,-12.74,33.8
300218,安利股份,塑料制品,0.9,87.92,-12.21,64.97
300294,博雅生物,生物制品,0.87,53.8,-4.01,47.64
300304,云意电气,汽车零部件,0.91,67.03,-14.55,42.73
300320,海达股份,橡胶制品,0.31,101.69,-13.94,73.57
300346,南大光电,电子化学品,0.29,84.84,-7.58,70.83
300373,扬杰科技,半导体,1.49,27.91,-1.12,26.48
300401,花园生物,化学制药,0.49,103.63,-11.08,81.08
300408,三环集团,电子元件,0.92,48.75,-7.34,37.82
300433,蓝思科技,消费电子,1.51,93.76,-0.86,92.1
300458,全志科技,半导体,0.6,93.64,0.0,93.64
300469,信息发展,软件开发,0.0,158.41,-6.68,141.15
300476,胜宏科技,电子元件,0.49,167.45,-1.59,163.21
300489,光智科技,有色金属,0.0,98.78,-4.74,89.36
300498,温氏股份,农牧饲渔,0.51,30.64,-13.74,12.69
300502,新易盛,通信设备,0.13,297.21,-5.07,277.08
300529,健帆生物,医疗器械,1.4,83.55,-5.42,73.61
300563,神宇股份,通信设备,0.52,371.41,-4.49,350.24
